team_name,acronym,logo
Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png
Mumbai Indians,MI,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png
Royal Challengers Bengaluru,RCB,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png
Kolkata Knight Riders,KKR,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png
Delhi Capitals,DC,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png
Sunrisers Hyderabad,SRH,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png
Rajasthan Royals,RR,https://documents.iplt20.com/ipl/RR/Logos/Logooutline/RRoutline.png
Punjab Kings,PBKS,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png
Lucknow Super Giants,LSG,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png
Gujarat Titans,GT,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png
